日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
6-16,"88,292","69,000","19,292",0,0,0,0,0,0,"-480,405",0,"1,000","-1,000","763,804","1,243,209","-479,405","-461,113"
6-19,"58,000","97,000","-39,000",0,0,0,0,0,0,"22,980",0,0,0,"643,551","620,571","22,980","-16,020"
6-20,"51,087","81,000","-29,913",0,0,0,0,0,0,"-138,381",0,0,0,"631,453","769,834","-138,381","-168,294"
6-21,"80,073","26,000","54,073",0,0,0,0,0,0,"-177,075",0,0,0,"1,330,262","1,507,337","-177,075","-123,002"
6-26,"23,059","229,000","-205,941",0,0,0,0,0,0,"-472,712",0,0,0,"527,000","999,712","-472,712","-678,653"
6-27,"45,000","157,000","-112,000",0,0,0,0,0,0,"-43,203",0,0,0,"784,000","827,203","-43,203","-155,203"
6-28,"36,000","135,000","-99,000",0,0,0,0,0,0,"221,037",0,0,0,"1,018,981","797,944","221,037","122,037"
6-29,"28,129","239,000","-210,871",0,0,0,0,0,0,"338,656",0,0,0,"1,492,054","1,153,398","338,656","127,785"
6-30,"61,030","367,000","-305,970",0,0,0,0,0,0,"159,780",0,0,0,"995,000","835,220","159,780","-146,190"
7-3,"49,100","401,000","-351,900",0,0,0,0,0,0,"-301,329",0,0,0,"728,962","1,030,291","-301,329","-653,229"
7-4,"57,000","225,000","-168,000",0,0,0,0,0,0,"-34,857",0,0,0,"902,976","937,833","-34,857","-202,857"
7-5,"20,073","176,000","-155,927",0,0,0,0,0,0,"-879,504",0,0,0,"593,000","1,472,504","-879,504","-1,035,431"
7-6,"85,105","349,000","-263,895",0,0,0,0,0,0,"-1,573,383",0,0,0,"891,000","2,464,383","-1,573,383","-1,837,278"
7-7,"92,030","13,000","79,030",0,0,0,0,0,0,"-361,994",0,0,0,"666,000","1,027,994","-361,994","-282,964"
7-10,"147,160","166,000","-18,840",0,0,0,0,0,0,"-385,381",0,0,0,"517,000","902,381","-385,381","-404,221"
7-11,"121,035","30,000","91,035",0,0,0,0,0,0,"451,718",0,0,0,"1,079,424","627,706","451,718","542,753"
7-12,"60,000","97,000","-37,000",0,0,0,0,0,0,"438,342",0,0,0,"940,007","501,665","438,342","401,342"
7-13,"346,100","156,000","190,100",0,0,0,0,0,0,"399,213",0,0,0,"787,835","388,622","399,213","589,313"
7-14,"527,130","57,000","470,130",0,0,0,0,0,0,"537,592",0,0,0,"1,252,592","715,000","537,592","1,007,722"
7-17,"233,200","68,000","165,200",0,0,0,0,0,0,"-659,719",0,0,0,"551,788","1,211,507","-659,719","-494,519"
7-18,"151,000","184,000","-33,000",0,0,0,0,0,0,"7,965",0,0,0,"717,953","709,988","7,965","-25,035"
7-19,"175,000","269,000","-94,000",0,0,0,0,0,0,"-545,029",0,0,0,"687,000","1,232,029","-545,029","-639,029"
7-20,"31,000","29,000","2,000",0,0,0,0,0,0,"-798,227",0,0,0,"538,443","1,336,670","-798,227","-796,227"
7-21,"207,030","273,000","-65,970",0,0,0,0,0,0,"20,372",0,0,0,"707,000","686,628","20,372","-45,598"
7-24,"78,000","210,400","-132,400",0,0,0,0,0,0,"-137,206",0,0,0,"632,363","769,569","-137,206","-269,606"
7-25,"93,000","231,700","-138,700",0,0,0,0,0,0,"193,634",0,0,0,"1,011,815","818,181","193,634","54,934"
7-26,"181,286","163,000","18,286",0,0,0,0,0,0,"-386,144",0,0,0,"757,040","1,143,184","-386,144","-367,858"
